Time_s,IR,Red,BPM,SpO2,Movement
9.281,108935,142990,77.9090092762798,81.2165889742183,0.00361295131517303
9.321,108948,142996,78.1909587343622,81.2100275360355,0.00785055429238942
9.361,108965,143007,76.9561566129583,81.2047493718611,0.0034004854192344
9.401,108948,143011,78.6087481783432,81.2005012397417,0.00875508841652398
9.441,108953,143013,77.1700219105217,81.1970774327514,0.00907599135519585
9.481,108948,143042,76.4678308808224,81.1943233978827,0.00860400888022759
9.521,108949,143029,77.4265703655273,81.1921003788207,0.0130609530030227
9.561,108953,143047,77.7553025237708,81.4599101415555,0.0121040578674224
9.601,108957,143059,77.1734561367025,81.6741513781605,0.0129854356904025
9.641,108966,143054,76.0721622591647,81.8455390561843,0.0201205056426138
9.681,108967,143026,74.9654942811404,81.9826348824705,0.00798604845400201
9.721,108962,142994,75.0264081355335,82.0922839559441,0.00920640021238516
9.761,108919,142941,76.0058284230538,82.1799938650253,0.00256056847697791
9.801,108895,142933,75.5882101678441,82.2501545628097,0.00187527972360073
9.841,108898,142961,74.434526765731,82.3062836938078,0.00708428619557955
9.881,108914,142997,75.7123579654991,82.3511929422651,0.00729568007689645
9.921,108925,143003,75.915474897166,82.3871291593892,0.0103637623421832
9.961,108939,143034,75.6290576881718,82.4158942768075,0.00198340781363183
10.001,108945,143036,75.7720170884706,82.4389026355087,0.00594521272553023
10.041,108950,143030,75.8219851741571,82.4572943998351,0.00642697586967196
10.081,108940,143009,76.1870300873379,82.4719644586235,0.00652362754682001
10.121,108936,142995,78.0408583195264,82.4836688457481,0.006431611265781
10.161,108946,142993,76.5251881608627,82.4929989586185,0.00580828967449723
10.201,108948,142986,77.7077366899428,82.5004470607487,0.0013372132751591
10.241,108958,142965,76.5258908038979,82.5063738199184,0.00804553567054887
10.281,108962,142990,76.5328578271717,82.5111066296512,0.0101163815210452
10.321,108963,143004,75.8197736374041,82.5148744843303,0.00635703933900954
10.361,108961,142993,75.3742659264112,82.5178598869109,0.00984465095393357
10.401,108926,142967,74.1052865143478,82.5202249880167,0.00288871083159161
10.441,108898,142959,75.8323273249738,82.5221046564484,0.000913490572942857
10.481,108899,142976,75.5075330734757,82.5236047945251,0.00608884956706051
10.521,108901,142995,75.381712352278,82.5248072805864,0.0164754226746123
10.561,108919,143013,75.4845884917305,82.5257656727227,0.0103637623421832
10.601,108934,143038,74.9738480576337,82.5265416164248,0.00294996239589711
10.641,108951,143015,74.6178540054361,82.5271618055783,0.00375055944720147
10.681,108954,143000,76.2335765987774,82.5276623773794,0.00313604311002567
10.721,108940,143007,75.7152682116808,82.5280658593712,0.00494347088166909
10.761,108944,142985,76.4795058132838,82.0661641642481,0.00580828967449723
10.801,108948,142999,76.7672074522332,80.7406726396514,0.00289900929859324
10.841,108961,143024,77.5010205063023,80,0.0069825926006226
10.881,108957,143026,76.5526179817171,80,0.0117517642056238
10.921,108961,143030,76.1090742871687,80,0.00405596868306547
10.961,108974,143054,76.9553179203554,80,0.0111050443511173
11.001,108976,143033,75.8136990992776,80,0.0128933065688583
11.041,108938,143009,77.0986357690882,80,0.00458698589552147
11.081,108903,142983,75.8072977849415,80,0.00335637868282898
11.121,108891,142979,77.4643963034583,80,0.00959941565006714
11.161,108905,142983,77.7241013299775,80,0.0107781933860567
11.201,108924,142968,76.4265532979485,80,0.00485219895369917
11.241,108940,142991,77.8150072230917,80,0.00187527972360073
11.281,108960,142997,78.7923022034142,80,0.00172633491500622
11.321,108971,143008,78.5963327359469,80,0.0034004854192344
11.361,108970,143024,78.2350365272375,80,0.00236703118037907
11.401,108969,143016,78.1509030365561,80,0.00744528841893404
11.441,108970,143031,78.8085030069352,80,0.00729568007689645
11.481,108966,143049,77.9071193121908,80,0.00218366013427714
11.521,108972,143077,76.7086689729129,80,0.00496152378732949
11.561,108976,143097,78.4768881705891,80,0.00803070517744069
11.601,109004,143087,79.5622263400352,80.4719820398215,0.00236703118037907
11.641,108998,143056,79.9541240903276,80.8495321272874,0.00705900014394578
11.681,108948,143005,81.1707933728712,81.15155277553,0.00600506536926213
11.721,108925,142973,80.6929909766901,81.3931744793816,0.00390625
11.761,108924,142979,79.5881412953422,81.5864865639093,0.0177887902655731
11.801,108938,142985,79.8160587335332,81.7411376314018,0.0529402493570218
11.841,108949,143006,80.5758996564452,81.8648524764959,0.0248556259848133
11.881,108958,143037,80.8777430840603,81.9638243840666,0.0789767564066843
11.921,108971,143051,81.843629145254,82.0430014644991,0.128049372240797
11.961,108963,143059,82.2817987869473,82.1063448767195,0.21992138173131
12.001,108957,143058,82.4008991523731,82.1570257114392,0.313527611114334
12.041,108951,143047,81.6198931046527,82.1975679652615,0.132327146603333
12.081,108957,143049,81.3316926369926,82.2299940130834,0.304168552671534
12.121,108959,143050,82.4861227542831,82.2559362811464,0.151372306491063
12.161,108963,143047,81.8416306965507,82.276672446865,0.150457788307782
12.201,108962,143030,80.6853726441364,82.2932502153363,0.13438893622943
12.241,108966,143036,82.1598138525564,82.3065135373406,0.0408094765914633
12.281,108959,142985,77.724072763768,82.3171130340185,0.154324299753227
12.321,108912,142965,77.9723299306756,82.3255952719209,0.0339293988922865
12.361,108897,142966,76.7803463841083,82.332399853895,0.0395816635315034
12.401,108903,142982,77.6839701037039,82.3378721984304,0.0791821481391061
12.441,108934,143009,77.1557918341711,82.3422584039342,0.0489092343915825
12.481,108927,143026,76.90136875766,82.3457913391228,0.0328584621591064
12.521,108941,143042,76.8369068626592,82.348622360816,0.0351477718726912
12.561,108944,143036,76.9380701931355,82.3508940766536,0.0315111690883285
12.601,108938,143027,76.3239025779255,82.3527112919467,0.0540389707662971
12.641,108925,143008,76.4387648413758,82.3541604900373,0.0232652053334013
12.681,108923,142986,74.9770158734898,82.3553139721366,0.0389050170212824
12.721,108914,142968,74.4357013636529,82.3562426441343,0.0132579824046733
12.761,108919,142958,74.1420813614827,82.3569959810374,0.0292102805525677
12.801,108927,142962,75.0522733553282,82.3576039901741,0.0278127503115931
12.841,108930,142975,75.0749352764132,83.2007705254309,0.031217558233751
12.881,108941,142967,75.605752817815,83.8752820072176,0.0914823948542441
12.921,108909,142953,79.3957094981284,84.246337264775,0.062569103185937
12.961,108895,142949,79.2603522714325,84.4083445289667,0.0392527714619471
13.001,108900,142963,77.7967284241527,84.5379412498099,0.104181987907263
13.041,108908,142984,78.6125705313891,84.6416170519155,0.0483749724395437
13.081,108919,143006,79.2298876576763,84.724565356008,0.0613449170880446
13.121,108939,143020,79.6086177024689,84.7909296508802,0.0219387216255022
13.161,108941,143020,79.7420571527257,84.8440295492207,0.0409640032755781
13.201,108940,143037,78.2622504206163,84.8865332791461,0.031087452619798
13.241,108980,143088,77.7632607296233,84.9205637998008,0.0703150430855208
13.281,109037,143168,77.5296707430649,84.2231360155857,0.0671710681782531
13.321,109113,143276,78.1105574195286,83.768181710156,0.0508703770142149
13.361,109167,143326,77.1342191408783,83.8119085841761,0.0608125824569974
13.401,109187,143364,76.1192850295705,83.7094850827902,0.0623539171078989
13.441,109187,143363,77.9418342691664,83.6275725009465,0.0480014244901365
13.481,109152,143326,76.6295807347576,83.5620589212483,0.010294515938627
13.521,109099,143269,78.3432576862363,83.5096630140991,0.0304882671739838
13.561,109040,143216,78.2394427229119,83.4677652125157,0.0947155503626478
13.601,109010,143186,77.384044467997,83.434273268956,0.0354920352006349
13.641,108984,143163,77.6647375592462,83.4075088716503,0.0306967397170147
13.681,108976,143123,78.2870685849088,83.3861342809695,0.107543044676457
13.721,108939,143044,77.375127718439,83.369065892271,0.0477106003312908
13.761,108903,142977,76.4353036116931,83.3554203041409,0.0312662082600558
13.801,108874,142956,76.9310946960923,83.6345558951738,0.097412109375
13.841,108870,142919,76.0430974466645,83.56115688498,0.0311018292076176
13.881,108856,142923,75.7326126100431,83.7285904676084,0.125460016652122
