84494,-0.157,-0.099,4.068,0.61,2.26,0.43,107227,75686,24.1,100.0,1
84614,-0.169,-0.104,4.099,0.85,4.15,0.43,107226,75643,24.1,100.0,1
84734,-0.215,-0.103,4.071,-0.12,0.31,0.31,107073,75603,24.1,100.0,1
84854,-0.217,-0.114,4.080,-0.12,-0.49,0.06,107087,75660,24.1,100.0,1
84974,-0.219,-0.118,4.058,-0.61,-1.95,-0.37,107044,75632,24.1,100.0,1
85095,-0.188,-0.115,4.039,0.18,0.06,0.00,107019,75606,24.1,100.0,1
85215,-0.185,-0.135,4.067,-0.85,-2.38,-0.31,107074,75595,24.1,100.0,1
85335,-0.157,-0.114,4.076,0.12,-1.83,-0.61,106989,75594,24.1,100.0,1
85455,-0.153,-0.120,4.057,-0.67,-1.22,-0.49,106808,75553,24.1,100.0,1
85576,-0.133,-0.119,4.099,-0.49,-2.01,-0.43,106762,75543,24.1,100.0,1
85696,-0.132,-0.124,4.073,0.06,-0.61,-0.37,106733,75530,24.1,100.0,1
85816,-0.111,-0.126,4.080,0.31,-1.04,-0.24,106808,75546,24.1,100.0,1
85936,-0.136,-0.122,4.021,0.43,2.14,-0.31,106894,75613,24.1,100.0,1
86057,-0.138,-0.122,4.069,0.12,-0.31,-0.24,106657,75528,24.1,100.0,1
86177,-0.107,-0.124,4.050,0.31,0.00,-0.18,106517,75481,24.1,100.0,1
86297,-0.086,-0.121,4.083,0.24,-0.24,0.00,106532,75487,24.1,100.0,1
86417,-0.101,-0.135,4.070,0.06,0.06,0.00,106605,75556,24.1,100.0,1
86537,-0.101,-0.130,4.061,0.92,0.61,-0.18,106664,75588,24.1,100.0,1
86658,-0.091,-0.136,4.115,0.55,1.59,-0.18,106683,75560,24.1,100.0,1
86778,-0.129,-0.117,4.076,0.31,0.55,0.06,106419,75476,24.1,100.0,1
86898,-0.140,-0.129,4.068,-0.06,0.67,0.06,106458,75542,24.1,100.0,1
87018,-0.126,-0.123,4.069,0.00,1.95,0.31,106483,75601,24.1,100.0,1
87139,-0.146,-0.129,4.060,0.12,1.59,0.37,106541,75591,24.1,100.0,1
87259,-0.153,-0.128,4.087,0.37,0.92,0.37,106593,75592,24.1,100.0,1
87379,-0.164,-0.104,4.084,0.67,1.71,0.55,106594,75572,24.1,100.0,1
87499,-0.176,-0.114,4.055,-0.55,0.37,0.31,106468,75611,24.1,100.0,1
87620,-0.177,-0.112,4.105,-0.98,0.06,0.24,106512,75604,24.1,100.0,1
87740,-0.176,-0.123,4.067,-0.98,-0.85,0.00,106522,75602,24.1,100.0,1
87860,-0.165,-0.135,4.100,-0.37,-0.12,0.37,106635,75644,24.1,100.0,1
87980,-0.186,-0.136,4.046,-0.67,-0.37,0.24,106793,75725,24.1,100.0,1
88101,-0.180,-0.144,4.078,0.00,0.31,0.18,106630,75648,24.1,100.0,1
88221,-0.172,-0.149,4.063,0.37,1.77,0.49,106575,75624,24.1,100.0,1
88341,-0.188,-0.151,4.069,0.00,1.65,0.24,106651,75648,24.1,100.0,1
88461,-0.205,-0.148,4.066,-0.43,3.48,0.00,106789,75728,24.1,100.0,1
88581,-0.232,-0.148,4.060,0.31,2.32,-0.31,106880,75758,24.1,100.0,1
88702,-0.229,-0.151,4.082,0.55,-0.31,0.06,106906,75714,24.1,100.0,1
88822,-0.230,-0.140,4.076,-0.12,-1.71,-0.06,106814,75684,24.1,100.0,1
88942,-0.210,-0.135,4.057,0.24,-1.95,0.12,106911,75755,24.1,100.0,1
89062,-0.184,-0.145,4.072,0.18,-1.77,-0.24,106971,75772,24.1,100.0,1
89183,-0.169,-0.158,4.061,0.43,-0.85,-0.24,107037,75771,24.1,100.0,1
89303,-0.177,-0.151,4.041,0.24,-0.61,-0.18,107169,75775,24.1,93.3,1
89423,-0.163,-0.139,4.067,0.18,-1.04,-0.49,107143,75814,24.1,93.3,1
89543,-0.152,-0.155,4.076,0.06,-1.65,-0.43,107163,75820,24.1,93.3,1
89664,-0.135,-0.150,4.070,-0.43,-1.04,-0.55,107216,75812,24.1,93.3,1
89784,-0.137,-0.163,4.071,0.12,-1.22,-0.55,107303,75814,24.1,93.3,1
89904,-0.107,-0.134,4.071,0.49,-0.24,-0.31,107449,75885,24.1,93.3,1
90024,-0.083,-0.154,4.120,0.31,-0.67,-0.67,107495,75879,24.1,93.3,1
90145,-0.104,-0.134,4.072,0.37,-0.98,-0.43,107410,75854,24.1,93.3,1
90265,-0.088,-0.157,4.075,0.06,-0.79,-0.37,107450,75824,24.1,93.3,1
90385,-0.083,-0.149,4.068,0.37,-0.18,-0.06,107553,75869,24.1,93.3,1
